id	phrase	reviewIds	examples sentence fragments
105	medium	482,32	should 've ordered a medium,if you 're a medium a small would
106	faded	484,122	made of tablecloth material faded black and about,pretty and has n't faded even after several
107	thicker	286,122	expected the material is thicker then i would,soft the material is thicker than some and
108	love the fit	117,330,475	love the fit and charcoal or,love the fit and i have,size were as described very soft love the fit
109	thinner	334,249	material is a little thinner than i wanted,fabric is a lot thinner and the cut
110	quick delivery	189,152	thanks to amazon for quick delivery,good quality and had quick delivery
111	highly recommend	418,164	looks expensive beautiful color highly recommend this great shirt,i 'm sure i highly recommend this particular shirt
112	very good	88,20	very good when you need,my shirt gotapparel is very good to work with
113	high	398,397	though priced a bit high but i 've,price is a little high but i get
114	fits perfect	483,323,255,443	size fits perfect and the cotton,in these the 1x fits perfect & is very,fits perfect makes me look skinnier
115	little thin	422,117	is nice but a little thin i do n't,or dark gray a little thin otherwise serves it
116	hard to iron	56,231	was quite wrinkled and hard to iron it was also,needs ironing and hard to iron
117	do n't	59,60	like the blouse i do n't usually buy clothes,small and i usually do n't get my size
118	to big	369,273	its about 3 sizes to big but comfy it,it is a little to big for me
119	buy	59,84	i do n't usually buy clothes every often,back on amazon to buy more colors because
120	smaller than expected	24,147	very cute a little smaller than expected,feels smaller than expected and i have
121	very snug	212,83	very snug in the breast,petite this will be very snug and exceptionally hot
122	little too large	339,375	n't feel just a little too large i have no,i little too large in the scoop
123	fits correctly	426,168	good in it it fits correctly in all the,good in it it fits correctly in all the
124	very flimsy	495,459	lace is very flimsy and has started,this is very flimsy and there is
125	fit great	7,31,351	skinnytees 20-24 each these fit great i am a,iron needed the shirt fit great and was comfortable,fit great looked great
126	love these shirts	174,151	love these shirts and wish they,that is why i love these shirts
127	super comfy	437,474	& the material is super comfy as well i,super comfy slightly sheer
128	refund	93,453	i want a refund on this item,to issue me a refund for a return
129	love this shirt	37,143	i love this shirt and it is,i love this shirt
130	returned	62,294,333	a blouse i sadly returned it the material,a gift and they returned it said it,not as pictured returned
131	light	193,338	great the material is light and soft as,this shirt is light and flows nicely
132	what i wanted	47,196	just what i wanted,just what i wanted and the color
133	nicely	4,254	and this fit her nicely unlike the other,its long washes up nicely the color has
134	flimsy	361,223	looked horribly made and flimsy i returned it,to be material was flimsy and cheap looking
135	order more	276,40	was great going to order more,i am going to order more in some of
136	fit well	80,470,305	love these tank tops fit well and are n't,this item fit well and the shirt,very pretty fit well
137	i love it	448,440	it 's so long i love it i 'm going,from the first wear i love it
138	nice top	312,317	very nice top nice shade of,nice top that fits as
139	cheaper	402,7	material is a little cheaper than i thought,from tilly or much cheaper shipping 7th sole
140	baggy	179,5	chested it might be baggy up there not,baggy and shapeless medium
141	cheaply made	250,200	lasted one wash very cheaply made,do n't buy it cheaply made super thin fabric
142	returning	63,54	women i will be returning it for a,case i shall be returning it
143	heavy	180,408	fabric is on the heavy side for me,fabric is stiff n heavy cant use spanx
