82	crisp	274,274,249	amazed its clear and crisp pictures to provide,camera takes clear and crisp images in low,the pictures are always crisp and clear it
83	ever	376,252,323	best buy i have ever made,of my best purchases ever i have tried,best little camera ever
84	sharp	276,166,11	a leica lens the sharp and clear images,about how clear and sharp the pictures come,pictures were good and sharp with vivid colors
85	works ok	349,142	the seller listed and works ok,this works ok about what you
86	out dated	106,57	this camera is so out dated only allows you,surprise it was so out dated that i could
87	pretty good	92,207	pretty good little camera,this is probably a pretty good camera but it
88	bought	286,161	designed and versatile i bought a second one,bought for myself and
89	video	91,281	takes great picture and video after years of,photos as well as video capture quality is
90	great picture	91,331	this little gem takes great picture and video after,and gives me a great picture when other cameras
91	reasonable price	460,139,56	outdoor adventures for a reasonable price i highly recommend,a viewfinder at a reasonable price i just purchased,it works fine reasonable price
92	beginner	444,233	not bad for a beginner,was fantastic for a beginner packaged with care
93	fast	121,410,96	digital the af was fast and accurate the,it drains batteries really fast i also like,this is fast - easily editable - simple to print
94	underwater	252,203	grainy when blown up underwater pictures are clear,this camera used it underwater above water and
95	expected	400,122,440	is not what i expected,it is what i expected and i am,works as expected no problem on a mac
96	way off	238,82	color is way off and the flanges,this price is way off i bought this
97	outdated	112,229	probably outdated by now but,they say it 's outdated
98	batteries	51,193	eats through normal alkaline batteries like i do,it uses replaceable aa batteries as someone who
99	excellent quality	348,392	great point and shoot excellent quality of the pics,excellent quality for photos and
100	good quality	183,438,188	decent light it is good quality it has a,the coleman camera more good quality pics and easy,good quality and price
101	water	226,393	fail it was obvious water had permeated the,n't work in the water go figure i
102	okay	303,436	overpriced image quality is okay for a point,pictures come out just okay and i have
103	too complicated	100,461	too complicated and do not,many bells and whistles too complicated wanted a small
104	no problems	381,403,472	camera for years with no problems,card up to 16gb no problems encountered so i,love this no problems
105	blurry pictures	427,69	will almost certainly get blurry pictures no matter what,one seems to have blurry pictures every once in
106	works	440,327,332	works as expected no,works as it should,great camera works as advertised
107	quickly	35,337	received camra quickly and it is,came very quickly and works well
108	great pics	251,128,173	easy to use - great pics,but itothrwisrtakes great pics,still taking great pics
109	download	13,220	not get it to download to my computer,n't be able to download to your computer
110	loves it	495,344	my granddaughter and she loves it,to our grandchild he loves it
111	amazed	497,190	pics and i was amazed as to how,sd780is camera and was amazed at its performance
112	sharp pictures	47,322	to use and takes sharp pictures great features like,this camera it has sharp pictures with up to
113	price range	245,295,234	no other in this price range or quality beats,ever experience within this price range believe me it,best camera in price range reliable and durable
114	focus	440,403	on a mac laptop focus is somewhat shallow,the projector easy to focus the projector fine
115	working	252,93	just bounces and continues working i 've dropped,an awesome camera still working well today many
116	thousands	93,157	is working well after thousands of pictures,like yesterday its done thousands of photographs taken
117	amazing camera	298,312	amazing camera this camera is,it 's an amazing camera for the price
118	liked it so much	120,242	i got home i liked it so much that i got,different model and i liked it so much i bought this
119	return	335,198	quit i plan to return it when i,phone i needed to return it because i
120	rechargeable	289,121	2 lens camera with rechargeable battery for those,you to use a rechargeable or standard aa
121	nice photos	369,189	this price level takes nice photos and easy to,in a travel bag nice photos and easy to
122	used	384,437	it was used but it looks,used camera advertising was
123	junk	220,88	thought i had total junk,to not be selling junk looks like they
124	best digital camera	434,249	the best digital camera our second one,this is the best digital camera i have ever
125	features	353,369	i like the features the camera has,money surprising amount of features at this price
126	slow	263,243	lag is a bit slow but maybe i,the zoom is way slow on the video
